id	NC1	NC10	NC100	NC101	NC102	NC11	NC12	NC13	NC14	NC16	NC17	NC18	NC19	NC2	NC20	NC21	NC22	NC23	NC24	NC25	NC26	NC27	NC28	NC29	NC3	NC30	NC31	NC32	NC33	NC34	NC35	NC36	NC37	NC38	NC39	NC4	NC40	NC41	NC42	NC43	NC44	NC45	NC46	NC47	NC48	NC49	NC5	NC50	NC51	NC52	NC53	NC54	NC55	NC56	NC57	NC58	NC59	NC6	NC60	NC61	NC62	NC63	NC64	NC65	NC66	NC67	NC68	NC69	NC7	NC70	NC71	NC72	NC73	NC74	NC75	NC76	NC77	NC78	NC79	NC8	NC80	NC81	NC82	NC83	NC84	NC85	NC86	NC87	NC88	NC89	NC9	NC90	NC91	NC92	NC93	NC94	NC95	NC96	NC97	NC98	NC99	NCFSBCneg	NCFSMFneg	NCSTBCneg	NCSTMFneg	St1	St100-St101	St102-St103	St104-St105	St106-St107	St11	St13	St15-St16	St17	St19	St21	St23-St24	St25-St26	St27-St28	St29-St30	St3-St4	St31-St32	St33-St34	St35-St36	St38	St39-St40	St41-St42	St43-St44	St45-St46	St47-St48	St49-St50	St5-St6	St51-St52	St53-St54	St55-St56	St57-St58	St59	St61-St62	St63-St64	St65-St66	St67-St68	St69-St70	St7-St8	St71-St108	St72-St73	St74-St75	St76-St77	St78-St79	St80-St81	St82-St83	St84-St85	St86-St87	St88-St89	St90-St91	St92-St93	St94-St95	St96-St97	St98-St99
MiFish_00001	4	0	3	5	0	0	405	2	1	0	0	27302	36	0	0	1	1	1	0	0	1	0	0	0	0	520	22	0	0	2	0	0	174	3	0	0	0	1	2	0	1	1	1	57	190	0	2	3	0	13	0	0	964	3	0	7	0	1169	0	0	2	2	0	1	4	0	0	0	387	2	0	0	1	2	0	39	0	309	189	0	371	0	8	620	794	0	11887	8059	1	275	3	54	0	63	1	1489	1	0	0	6	4	0	8	2	2	2	13	791	62	5	9	44	5	6	2	3	4	7	0	13	48	12	28	58	8323	170	34448	26	20	21989	23	17	16075	8342	75	36	4	6	15	8	0	15	5	7526	2	1504	9	9	2190	14	4	2282	10842	33	16	8	275	6
MiFish_00002	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	8	0	0	0	0	0	0
MiFish_00003	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	482	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
MiFish_00004	4	4	3	10734	17515	6	41	4	6	1	2	3	2	3	4	35	4	12507	0	3	1	1	5	30	7	1	1	1	1	17009	1	6	41	7078	8	23	1	3	0	9775	1037	33	7	3815	1508	0	2	3	2	7448	28	6	5	290	2	2	5109	1	52	39	3121	14	1	4	3	2	4803	21	0	187	1	2	5252	5	4	11	44	5	0	2	0	4	2	0	6	24	1	3	0	1	4	4	5	15176	120911	5075	14	177	3799	4	2	9	8	2	1	4553	3	8	3	4	6816	8	3	4316	6367	8958	1863	12036	3453	6029	2	4903	77	9951	4	3	4	18	8	0	3	2	3	4	10224	11698	7920	8647	7548	6915	6180	13312	4	4	4	0	1	7	20	5	1	2	1	5	2	3	10	1
MiFish_00005	0	0	2	0	0	0	1	0	1	0	0	53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	8	1	0	733	8	0	1	1	0	0	0	0	34	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	27352	0	0	0	3	2	17	0	0	17	0	0	791	7	0	0	0	0	1	0	0	5	0	4	0	5	0	0	1	0	0	3	7	0	0	0	8	4
MiFish_00006	0	6	1	0	0	66	2	94	0	51	0	10	0	0	0	13	0	0	1	1	2	18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	2	0	0	10	1	4	0	0	0	1	0	0	0	0	0	0	1	1	5	0	0	0	9	0	16	0	115	4	14	15	0	0	0	2	1	3	0	0	0	109	0	0	2	0	0	0	1241	0	651	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	4	60	4	1	0	0	1	0	0	0	0	24	0	2	0	2	0	0	0	0	0	0	0	2	3	0	0	0	17	0	287	0	0
MiFish_00007	15	6788	2	0	0	397	2970	20	6940	7	7	2222	11726	9	13909	6674	9179	25	392	11233	8492	8491	3	6	1	0	2	7776	7477	14	10397	1	3	2	12331	3	12319	13443	9875	6	1	5	5	4	3	8	19452	11	3143	3	7441	9254	6740	8799	3689	1293	9	16	0	2	10	3	6	14	8	10	1	2	3	3	1	3	4	22362	8989	2	5	2	6	6938	6	10	4	8	13	8818	637	11	7	5556	14173	10922	13429	2	9	3	4	5	6	0	8657	0	0	1	1	3	1	1	0	0	0	2	1	2	0	0	1	0	1	1	4	0	1	2	0	17130	1	2	1	0	547	0	3	8	1	1	0	3	1	0	0	1	1	3	2	2	0	0	0	0	1	0	0	0	0	1	4742	3
MiFish_00008	20	7	3	1	2	1	16	5	8	3	1	2	0	17738	0	13	2	7	3	1	0	4	7	12135	22715	9464	15524	1	1	1	3	2	30010	13	10	29209	0	0	3	3	1	12	5691	21	2	0	10	15105	3	2	11	8	5	27	1	6	6	21278	3	9287	12	71	2	4	4237	7279	2	18030	7	6	6	5494	0	2	9	5678	10515	15201	22520	6	33	29176	4113	5067	2	11	2	6	1	0	2	0	6	1	10	5	4	1	1	1	0	2	0	1	2	0	47	41	5081	86	0	74	3	0	1	1	3	1	2	1	8	1	9	1	1	40	23	12684	1524	2040	0	0	2	0	1	2	1	1	5	0	1	8	131	2	0	241	0	653	10818	2142	49	43868	1	275	29	0	0	110
MiFish_00009	0	1	2	2	6	0	314	1	1	0	0	0	4	10	0	2	1	1	1	49	0	0	38	0	0	40	5	0	0	0	1	0	56	0	1	0	127	1	0	15	0	0	1	72	110	1249	17	20	2	2	0	1	108	4	1	0	0	88	1	1	0	1	3053	1	2	3	0	4	29	3	1	3	1	0	1	0	0	40	2947	500	586	3	444	4735	0	2	980	529	1587	997	0	0	1	57	0	1354	3	0	2	16	5	0	13	6	2	6	7	29	48	5131	30	17354	3	5	16	3	8	6	0	4	3	17	15	19	571	309	6817	11	6	13	4	21110	1218	7449	20	189	736	29	14	8	12	65	7031	11884	2	56498	1511	44	5802	38566	19219	1539	3851	69813	14947	9	13920	8
MiFish_00010	0	0	1	3	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	4586	0	1591	2575	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	1	0	0	0	0	5151	2	2	0	4	0	0	0	0	0	2	0	0	24	12	3354	1	841	0	0	2	1	9	3225	1761	8	1	0	2	5	2	0	5	0	7018	0	4	1	1	0	2	0	0	1	0	0	2	35	0
MiFish_00011	0	0	1	1	0	0	18	0	0	0	0	1548	0	0	0	0	1	0	0	0	0	0	0	0	0	29	1	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	9	0	0	1	0	1	0	1	56	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	21	7	0	20	0	0	26	42	0	563	379	0	8	0	2	0	6	0	68	0	0	0	0	0	0	0	0	0	0	0	47	2	2	1	2	0	0	0	1	0	0	0	0	5	1	1	6	507	9	1798	1	0	1291	1	0	853	463	4	1	0	0	1	1	0	0	0	417	0	97	1	0	118	0	0	118	603	3	1	0	9	0
MiFish_00012	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
