"","NC12","NC19","NC20","NC21","NC22","NC23","NC24","NC27","NC29","NC30","NC31","NC33","NC36","NC37","NC38","NC39","NC43","NC44","NC47","NC48","NC5","NC50","NC51","NC52","NC53","NC54","NC56","NC57","NC59","NC6","NC61","NC62","NC63","NC64","NC65","NC67","NC68","NC69","NC7","NC70","NC72","NC73","NC75","NC76","NC79","NC8","NC81","NC82","NC83","NC84","NC85","NC9","NC90","NC92","NC93","NC94","NC96","NC97","NC99","St1","St102-St103","St104-St105","St11","St13","St17","St19","St21","St23-St24","St25-St26","St27-St28","St29-St30","St31-St32","St33-St34","St35-St36","St38","St39-St40","St41-St42","St43-St44","St45-St46","St49-St50","St51-St52","St55-St56","St57-St58","St59","St61-St62","St63-St64","St65-St66","St67-St68","St69-St70","St7-St8","St71-St108","St72-St73","St76-St77","St78-St79","St80-St81","St84-St85","St86-St87","St88-St89","St90-St91","St92-St93","St96-St97"
"BerryCrust_00000002",0,0,0,0,0,6333,0,0,0,0,0,0,0,0,29793,0,0,0,4644,4123,0,0,10457,0,0,0,0,0,3075,0,0,37670,0,0,0,0,23796,0,0,23283,0,4774,0,0,0,0,0,0,0,0,0,0,0,0,141878,0,14427,11620,0,61917,0,0,34244,0,26537,39479,31603,39973,30851,57690,37191,8515,0,30694,0,0,0,0,0,0,0,21769,24229,0,27175,38194,39419,39247,41751,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0
"BerryCrust_00000119",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29610,0
"BerryCrust_00000191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2288,0,0,0,0,4160,0,0,2397,0,514,0,0,0,0,0,0,0,31537,1135,0,0,0,0,0,0,0,0,837,0,0,0,0,0,0,718,0,0,1047,0,0,0,0,23618,11792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66426,0,2062,0,0,2410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22372,0,0,0,0,0,0,0,0,0,0,0
"BerryCrust_00000217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1482,0,0,146,0,111,0,0,0,0,0,0,0,0,300,0,0,342,0,0,0,0,0,0,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,0,2396,0,0,1964,0,0,868,0,1506,415,1154,998,1105,1138,1072,3400,0,2209,0,0,0,0,0,0,0,1160,623,0,1159,2492,1454,1257,3591,0,0,0,0,0,0,0,0,0,0,0,0
