"","superkingdom","phylum","class","order","family","genus","species"
"BerryCrust_00000002","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus"
"BerryCrust_00000007","Eukaryota","Arthropoda","Malacostraca","Decapoda","Ovalipidae","Ovalipes","Ovalipes ocellatus"
"BerryCrust_00000023","Eukaryota","Annelida","Clitellata","Crassiclitellata","Lumbricidae","Bimastos","Bimastos rubidus"
"BerryCrust_00000119","Eukaryota","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita","Emerita benedicti"
"BerryCrust_00000142","Eukaryota","Arthropoda","Malacostraca","Decapoda","Panopeidae","Hexapanopeus","Hexapanopeus angustifrons"
"BerryCrust_00000184","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus"
"BerryCrust_00000187","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Achelous","Achelous spinimanus"
"BerryCrust_00000191","Eukaryota","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus",NA
"BerryCrust_00000195","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Arenaeus","Arenaeus cribrarius"
"BerryCrust_00000217","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus"
"BerryCrust_00000439","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000454","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes sapidus"
"BerryCrust_00000456","Eukaryota","Arthropoda","Malacostraca","Decapoda","Portunidae","Callinectes","Callinectes similis"
"BerryCrust_00000462","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000464","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000468","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000473","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000475","Eukaryota","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus",NA
"BerryCrust_00000486","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000492","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
"BerryCrust_00000494","Eukaryota","Arthropoda","Malacostraca","Stomatopoda","Squillidae","Squilla","Squilla empusa"
